Authors,Link,Title,Reviewer1,Reviewer2,Reviewer3,Reviewer4,Reviewer5,min,mode,overall,agreement,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Abstract
Huang J.; You J.-X.; Liu H.-C.; Song M.-S.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080975315&doi=10.1016%2fj.ress.2020.106885&partnerID=40&md5=456d29db2c5348ed654c537addcb9ccb,Failure mode and effect analysis improvement: A systematic literature review and future research agenda,,,0,0,,0,0,0,1,2020,Reliability Engineering and System Safety,199,,106885,,,,10.1016/j.ress.2020.106885,"Failure mode and effects analysis (FMEA) is a reliability management technique commonly utilized in various industries to guarantee the security and reliability of systems, services and projects. Nonetheless, the classical risk priority number (RPN) method has been criticized for many inherent deficiencies in the literature. Over the last decades, plenty of models and approaches have been employed to enhance the inherent characteristics of FMEA, but few contributions are devoted to review and summarize the related researches on FMEA improvement. Therefore, this paper aims to conduct a systematic review of the journal articles on the topic during the years between 1998 and 2018. A metadata statistical analysis is undertaken to present an overview of publication distribution across time and journals. Besides, a bibliometric analysis is performed to identify the most influential authors, institutions and areas, reveal the research hotspots and give an insight into the theme evolution in this field. The results indicated that the annual publications on FMEA improvement are rising quickly in the past two decades, especially after 2013; Liu HC, Chang KH, Kumar D, Sharma RK and You JX are the most prolific researchers; and Asian especially China is the major contributor in this field. Moreover, “healthcare failure mode”, “risk ranking”, “extended FMEA”, “gray theory”, “risk evaluation”, and “fuzzy inference” are the research focuses in improving the traditional FMEA. © 2020 Elsevier Ltd"
Janik A.; Ryszko A.; Szafraniec M.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081216842&doi=10.3390%2fsu12030779&partnerID=40&md5=56acb7d11d44b494c5c8d77da822d74a,Scientific landscape of smart and sustainable cities literature: A bibliometric analysis,0,,,0,,0,0,0,1,2020,Sustainability (Switzerland),12,3,779,,,,10.3390/su12030779,"The smart sustainable city (SSC) is a concept created in response to problems and challenges arising from rapid urbanization. This is a relatively new term that is developing dynamically, which is confirmed by the growing number of publications over recent years. For this reason, this article presented an up-to-date comprehensive bibliometric analysis to describe and assess the scientific landscape of smart and sustainable cities literature. The analysis was based on two bibliographic sources-theWeb of Science Core Collection and the Scopus database. It covers publications on the SSC, as well as documents describing the smart city (SC) and the sustainable city (SuC) concepts separately. VOSviewer and Biblioshiny were selected as software tools for the bibliometric analysis. Based on the descriptive bibliometric analysis, quantity and quality indicators were determined separately for the SC, SuC, and SSC concepts, while the network analysis mapped and covered the level of multi-faceted scientific cooperation in the field of the SSC research. The analysis results were intended to familiarize scholars and practitioners with the most prolific authors, sources, institutions, and countries in the analyzed scientific field, to identify the most influential research channels and impact from authors, sources, countries, and research topics, to determine major clusters of the SSC research and also to provide valuable information for further investigation. © 2020 by the authors."
Wu J.-F.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044610346&doi=10.1080%2f02702711.2018.1451419&partnerID=40&md5=47d242fa34dba6d05daef44418d8214c,A bibliometric analysis of picture book research between 1993 and 2015,,0,0,,,0,0,0,1,2018,Reading Psychology,39,5,,413,441,28,10.1080/02702711.2018.1451419,"This study makes an effort to map the development of previous academic studies on picturebooks in order to provide an overview of contemporary picturebook research utilizing the HistCite (ver. 12.03.17) software. The findings are based on an analysis of 9,763 references to 286 articles from 175 journals indexed by the Web of Science (WoS) database, from 1993 through 2015. The most prolific authors, those who are most frequently-used in title keywords, and the most frequently-cited articles are listed for purposes of examination. Results from a large-scale journal citation dataset available via HistCite provide visualization techniques which feature four major themes as determined by research interests, their size, similarity and interconnectedness. © 2018, Copyright © Taylor & Francis Group, LLC."
Blažun Vošner H.; Železnik D.; Kokol P.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055546626&doi=10.1080%2f17538157.2018.1525734&partnerID=40&md5=34cd9f336e279e1c30e536d4b6c40ce3,Bibliometric analysis of the International Medical Informatics Association official journals,,,0,0,,0,0,0,1,2019,Informatics for Health and Social Care,44,4,,405,421,16,10.1080/17538157.2018.1525734,"Objectives: This research article aims to analyze the bibliometric characteristics of four official International Medical Informatics Association (IMIA) journals, namely: the International Journal of Medical Informatics, Methods of Information in Medicine, Applied Clinical Informatics, and Informatics for Health and Social Care. Method: We used descriptive bibliometrics to study the trends of literature production, identify documents` types, most prolific authors, institutions, countries, and most cited publications of all four IMIA journals. Additionally, we visualized the content of published publications using bibliometric mapping to identify journals’ main themes and the most prolific and most cited research terms. Results: In total, 6,837 publications were published in all four IMIA journals. Among them, there were 5,137 original articles, meaning that articles were the leading document type. Research is being conducted globally among various research institutions. The most prolific countries are the United States of America, the United Kingdom, Germany, the Netherlands, and Canada. Thematic analyses of clusters show that themes are overlapping between all four journals. Conclusion: The journals contribute to the advances in technology related to health information systems, knowledge-based and decision-making systems, health literacy, and electronic health records. © 2018, © 2018 Taylor & Francis Group, LLC."
Pesta B.J.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056460857&doi=10.1016%2fj.intell.2018.01.001&partnerID=40&md5=c1ef609603559d6ca807d3cc314feaeb,Bibliometric analysis across eight years 2008–2015 of Intelligence articles: An updating of Wicherts (2009),0,,,0,,0,0,0,1,2018,Intelligence,67,,,26,32,6,10.1016/j.intell.2018.01.001,"I update and expand upon Wicherts’ (2009) editorial in Intelligence. He reported citation counts of papers published in this journal from 1977 to 2007. All these papers are now at least a decade old, and many more new articles have been published since Wichert's analysis. An updated study is needed to help (1) quantify the journal's more recent impact on the scientific study of intelligence, and (2) alert researchers and educators to highly-cited articles; especially newer ones. Thus, I conducted a bibliometric analysis of all articles published here from 2008 to 2015. Data sources included both the Web of Science (WOS), and Google Scholar (GS). The eight-year set comprised 619 articles, published by 1897 authors. The average article had 17.0 (WOS), and 32.9 (GS) citations overall (2.75, and 5.33 citations per year, respectively). These metrics compare favorably with those from other psychology journals. In addition, a list of the most prolific authors is provided. Also reported is a list showing many articles in this set with counts greater than one hundred, and an updated top 25 list for the history of this journal. © 2018 Elsevier Inc."
Fazli F.; Karimi M.; Hamzehei R.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048569340&partnerID=40&md5=bcf46c640b21555f05ddcedf5c8ca40e,Co-authorship patterns and topic networks in the scientific publication of Hamadan University of Medical Sciences,,0,0,,,0,0,0,1,2018,Library Philosophy and Practice,2018,,1838,,,,,"Introduction: Scientific co-operation is a process in which two or more authors share their resources and talents with the aim of creating a shared work. One of the forms of scientific co-operation is co-authorship that involves the production of a scientific output by several collaborative researchers and scholars. This research has been designed to map out co-authorship networks in the Hamadan University of Medical Sciences researches indexed in the Web of Science from 2012 to 2016, and analyzes scientific collaboration and co-authorship networks in this university. Method: The present study is an applied study which has been carried out using the scientometric indicators and social network analysis. The statistical population of this research consisted of all the scientific articles that at least one of the authors of referred to the Hamadan University of Medical Sciences as the affiliation and indexed in the Web of Science from 2010 to 2016. In so doing, the network analysis technique and the software on Citespace and Gephi were run to analyze and visualize co-authorship networks. Furthermore, the software on HISTCITE was used for data analysis. Findings: All articles related to Hamadan University of Medical Sciences during the years 2012 to 2016, based on a search on the Web of Science, have 838 records. The dominant co-authorship pattern in these years is the 4 and 5 authors with 171 articles and 20.41%. The mean number of authors or collaboration index in the period considered was 5.51, the degree of Collaboration was 0.99 and the Collaborative Coefficient was 0.759. Poorolajal, Alikhani and Shahidi were the most prolific authors. Tehran University of Medical Sciences, Shahid Beheshti University and Islamic Azad University were the most prolific organizations. The greatest collaboration of Iranian researchers has been with Switzerland. Saidijam, Mahjub, Mehdizadeh, and Moghimbeigi have alloacated the highest betweenness centrality, whereas Saidijam, Mahjub, Hajilooi, and Khazaei have allocated the highest degree centrality. Conclusion: The scientific production of Hamadan University of Medical Sciences during the period from 2012 to 2016 has grown dramatically, and collaborative research at this university is growing at an appropriate level. In this study, the degree of Collaboration and the co-operation rate are high which indicates that here is a great deal of interest in co-authorship and co-operation among researchers of Hamadan University of Medical Sciences, and it is relatively unlikely to see single-authorship, which reflects the willingness of individuals to co-authorship. © 2018 Library Philosophy and Practice."
Fahimnia B.; Pournader M.; Siemsen E.; Bendoly E.; Wang C.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063866513&doi=10.1111%2fdeci.12369&partnerID=40&md5=8021ebb9ed2b3cfbd27edb24fab50384,Behavioral Operations and Supply Chain Management–A Review and Literature Mapping,,,0,0,,0,0,0,1,2019,Decision Sciences,50,6,,1127,1183,56,10.1111/deci.12369,"Behavioral operations research has proliferated greatly over the decade since its first formal review in 2006. The growth of the field warrants an objective mapping of contributions to the literature and the identification of trends. We conduct a systematic review of the literature of behavioral operations and supply chain management (BOSCM) across eight key operations and supply chain management journals, with publication dates through the end of June 2018. Collected articles are categorized into 12 operations contexts as well as emerging topic considerations. Key research trends, theoretical foundations, and methodological choices are discussed in each context. The results show that supply chain management, inventory management, and procurement/auctions have been the most popular operations contexts for BOSCM researchers. The results of our co-citation analysis shows that the fundamental research areas that have informed and shaped the field include supply chain risk management, marketing, cognitive psychology, and social psychology. Based on these findings and a survey of the most prolific authors in the field, we discuss possible avenues for future research. © 2019 Decision Sciences Institute"
Kaliyaperumal K.; Santha Kumar R.; Balasubramanian P.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072870084&partnerID=40&md5=d292d69058a7b6bf4a3d6835f08498a4,Research trends in global output of cosmic rays: A scientometric analysis,0,,,0,,0,0,0,1,2019,Library Philosophy and Practice,2019,,2962,,,,,"This paper attempts to highlight the publication status and growth of global cosmic rays research output of Web of Science during 2004-2013. A total of 20395 publications were published on cosmic rays during this period. The average number of publications per year is 2039.5 and the highest number of publications 2565 was published in 2009. The scientometric parameters studied in this paper include forms of publications, annual growth rate, relative growth rate and doubling time of publications, authorship pattern, identification of most prolific authors, country wise distribution of publications, identification of highly productive institutions, language wise distribution of publications and highly preferred source titles for publications. © 2019, Library Philosophy and Practice."
de Villiers C.; Hsiao P.-C.K.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058369328&doi=10.1111%2facfi.12424&partnerID=40&md5=80b1e65fc104a869d89229694e92fe51,A review of accounting research in Australasia,0,,,,0,0,#N/A,0,1,2018,Accounting and Finance,58,4,,993,1026,33,10.1111/acfi.12424,"This study examines recent accounting research published in 10 journals led by New Zealand and Australia based editors, namely: Abacus; Accounting and Finance; Accounting Forum; Accounting History; Accounting, Auditing and Accountability Journal; Australian Accounting Review; International Journal of Auditing; Meditari Accountancy Research; Pacific Accounting Review; and Qualitative Research in Accounting and Management. The paper identifies the most cited recent articles (2015–2017), and the most prolific authors, universities and geographical regions. It then reveals trends in research areas and relevance of recent accounting articles. The paper discusses the importance of the Australian Business Deans Council journal quality list in facilitating novel and relevant research, and recommends the integration of citation metrics into its ratings methodology. © 2018 Accounting and Finance Association of Australia and New Zealand"
Lawson McLean A.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060004744&doi=10.1016%2fj.brs.2019.01.002&partnerID=40&md5=35b19aeb2d152c08fd9262b7f75fd348,Publication trends in transcranial magnetic stimulation: a 30-year panorama,,0,0,,,0,0,0,1,2019,Brain Stimulation,12,3,,619,627,8,10.1016/j.brs.2019.01.002,"Background: Transcranial magnetic stimulation (TMS) is a non-invasive neuromodulatory technique that has broad diagnostic and therapeutic potential across a range of neurological and psychiatric diseases. Objective: This study utilises a bibliometric approach to systematically and comprehensively evaluate the literature on TMS from the last three decades. Methods: The Scopus citation database was used to identify all peer-reviewed journal articles concerning TMS over the period 1988–2017. Frequency-distribution, cross-tabulation and keyword analyses were performed to determine the most prolific researchers, institutions, nations, journals and the foremost studied disease entities within the TMS field. Given recent heightened awareness of gender bias across many fields of biomedicine, female representation among the most prolific authors was determined. Open-access publication rates and types of study design utilised were also quantified. Results: 17,492 TMS-related articles were published during the study period 1988–2017. The annual TMS research output has increased dramatically over this time, despite a recent levelling-off of publications per year. The most prolific institutions were based in the United Kingdom, the United States and Canada. The top disease entities studied were stroke, depression and Parkinson's disease. Only 4/52 of the most productive researchers during the study period were female. A minority (4.81%) of publications were published as gold open-access. Conclusion: This study implemented a systematic, bibliometric approach to quantitively assess the breadth of the TMS literature base and identify temporal publication and authorship trends. Drawing on these insights may aid understanding of historical progress in TMS over the last 30 years and help identify into unmet needs and opportunities to improve scientific and publishing practices to contribute to the future health of the field. These findings are likely to be relevant to researchers, clinicians, funders, industry collaborators and other stakeholders. © 2019 Elsevier Inc."
Olvera C.; Berbegal-Mirabent J.; Merigó J.M.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069547493&doi=10.13053%2fCyS-22-4-3101&partnerID=40&md5=91f709251b8c15e650b1675e70c859be,A bibliometric overview of university-business collaboration between 1980 and 2016,,,0,0,,0,0,0,1,2018,Computacion y Sistemas,22,4,,1171,1190,19,10.13053/CyS-22-4-3101,"Bibliometrics is a research field that analyses bibliographic material from a quantitative point of view. Aiming at providing a comprehensive overview, this study scrutinises the academic literature in university business collaboration and technology transfer research for the period post the Bayh-Dole Act (1980-2016). The study employs the Web of Science as the main database from where information is collected. Bibliometric indicators such as number of publications, citations, productivity, and the H-index are used to analyse the results. The main findings are displayed in the form of tables and are further discussed. The focus is on the identification of the most relevant journals in this area, the most cited papers, most prolific authors, leading institutions, and countries. The results show that the USA, England, Spain, Italy, and the Netherlands are highly active in this area. Scientific production tends to fall within the research areas of business and economics, engineering or public administration, and is mainly published in journals such as Research Policy, Technovation and Journal of Technology Transfer. © 2018 Instituto Politecnico Nacional. All rights reserved."
Parmar S.; Siwach A.K.; Kumar A.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083333342&doi=10.14429%2fdjlit.40.02.14727&partnerID=40&md5=db49f16ded76f823277919441599556b,Fifty years research output in oral submucous fibrosis: A bibliometric analysis of publications from 1967 to 2016,0,,,0,,0,0,0,1,2020,DESIDOC Journal of Library and Information Technology,40,2,,470,478,8,10.14429/djlit.40.02.14727,"Oral submucous fibrosis (OSMF) is a precancerous state which affects the oral cavity. The etiology of OSMF is due to various factors like chilies consumption, deficiency of nutrition, areca nut chewing habits, genetic susceptibility, altered salivary constituents, and autoimmunity and collagen disorders. The present study is undertaken to find out the publication trends on OSMF during 1967-2016. The study mainly focus on distribution of research output, national and international collaborations, top journals for publications, most prolific authors, authorship pattern, citations pattern and highly cited papers on OSMF. The results indicate that highest growth rate of publications occurred between the years 1997-2006. India’s research share, citation score and h index was highest among all countries. Central South University, China topped the scene among all institutes. The maximum publications were two authored publications. CP Chiang of National Taiwan University and JJ Pindborg of University of Copenhagen were found to be the most prolific authors. © 2020, DESIDOC."
Siwach A.K.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099036267&partnerID=40&md5=3b1b909018819f1f0b77876da6820619,Indian Wheat Research Output in Two Decades: A Bibliometric Study Based on Scopus Data from 1996-2015,0,,,,0,0,#N/A,0,1,2020,Library Philosophy and Practice,2020,,,1,21,20,,"Purpose: The purpose of this paper is to explore the Indian wheat research output during 1996 to 2015 from a bibliometric point of view. Methodology: The data for the study was extracted from Scopus database for the 20 years time period from 1996-2015 using the keywords identified through MeSH. A total of 8554 Indian papers on wheat research were selected and analyzed to study the year-wise output, most prolific authors, document types, top journals, top institutions, international collaborations, funding agencies, citation profile and top cited papers. Findings: With 8.52% of the global research output on wheat, India stands at 3rd position in the world during 1996-2015, receiving citations at an average of 14.68 citations per paper. The international collaborative papers with 91 countries, accounting for 13.92% of total papers, received more citations in comparison to other papers. IARI New Delhi is the top institution while H.S. Dhaliwal is the top author in terms of publication count. CSIR is the topmost funding agency. Indian Journal of Agricultural Science and Indian Journal of Agronomy were the most preferred journal for publishing Indian wheat research. Almost half of the total papers received upto ten citations. The paper by J. Peng et al published in Nature was the top cited paper. Research Limitations: The study is limited only to the publications indexed in Scopus database. Originality: This study is unique in the sense that no bibliometric study is available on Indian wheat research output till date. The present study will be beneficial for the researchers and policy makers interested in wheat research in India. The study also adds to the corpus of bibliometric literature. © 2020. All Rights Reserved."
Malik B.A.; Aftab A.; Naushad Ali P.M.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067958534&doi=10.14429%2fdjlit.39.1.13630&partnerID=40&md5=7e5c60fb730aa467ae09ab3af53d5492,Mapping of crowdsourcing research: A bibliometric analysis,,0,,,0,0,#N/A,0,1,2019,DESIDOC Journal of Library and Information Technology,39,1,,23,30,7,10.14429/djlit.39.1.13630,"This study presented a bibliometric examination of the crowdsourcing publications. The objective of this study is to bibliometrically examine the publications related to crowdsourcing in the Science Citation Index Expanded of the Web of Science. A systematic search has been carried out for publications between 2008 and 2017. The parameters analysed included document type, language, most prolific journal, leading countries/territories, institutions and authors in terms of total publications, independent publications, collaborative publications, first authors, corresponding authors and single authors. Highly cited articles and the future direction of hot topics are also investigated. 81 per cent of the total publications are articles. English remains the dominant language and accounted for nearly 100 per cent of the total output. The USA, China and the UK produced 80 per cent of total production. PLOS One was leading journal in terms of total output and total citation till 2016. It was found that 1459 articles, including 1347 first authors, 1443 corresponding authors and 79 single authors, were published by 6973 authors. Fritz Steffen and See Linda were the most prolific authors. This paper will be useful for researchers to know the current trends and achievements of crowd-sourcing research. © 2019 DESIDOC."
Marzi G.; Rialti R.; Dabić M.; Caputo A.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061311305&doi=10.1504%2fWREMSD.2018.097689&partnerID=40&md5=392851cb09f62737e49fcf8c71fdb342,"A mixed methods bibliometric investigation of the world review of entrepreneurship, management and sustainable development: From qualitative to quantitative data",,0,0,,,0,0,0,1,2018,"World Review of Entrepreneurship, Management and Sustainable Development",14,6,,764,786,22,10.1504/WREMSD.2018.097689,"This article offers a complete overview of the World Review of Entrepreneurship, Management and Sustainable Development (WREMSD) from 2005 to 2015. The article employs an innovative mixed method, based on a bibliometric analysis of the journal and an in-depth interview with the editor Prof. Leo Paul Dana about the journal, his academic and personal life. By using SCOPUS data, the analysis maps the knowledge produced and disseminated by the journal revealing the most cited papers and most prolific authors. By also presenting a keywords correlation analysis, the paper shows the main streams of research covered by the journal and their evolution. Although the objective of mapping the knowledge in WREMSD, this paper offers an example of application of a mixed method to bibliometric studies and methodological implications are discussed. Copyright © 2018 Inderscience Enterprises Ltd."
Ciacia de Mendonça F.; Silveira M.S.; Gasparini I.; Diniz Junqueira Barbosa S.; Schroeder R.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056718276&doi=10.1145%2f3274192.3274228&partnerID=40&md5=99cce368b2bd76e1e2ba3bf1c007fc54,Scientific collaboration networks of the academic Brazilian community of HCI,,,0,0,,0,0,0,1,2018,ACM International Conference Proceeding Series,,,36,,,,10.1145/3274192.3274228,"Social networks enable the creation of specific groups and communities such as scientific collaboration networks, which are composed of their authors, who in turn are connected through their publications. is work generated the networks of scientific collaboration of the Brazilian Community of Human-Computer Interaction analyzing the most prolific authors of the Brazilian Symposia on Human Factors in Computing Systems (IHC). First an extraction tool was developed in order to collect data from Laes Platform. Aer the process of preparation, data modeling based on classification techniques, cleaning and standardization of data mining techniques were used. Finally, scientific collaboration networks were generated and analyzed through the bibliometric analysis and social network analysis techniques. e results show IHC community network in relation to its paerns and relationships. ese data can help researchers get insights and increase collaboration among their peers. © 2018 Association for Computing Machinery."
Ahmad M.; Batcha M.S.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098048858&partnerID=40&md5=e27a413a128f4f0c34f5bb6d8fe380e6,Research Output on Alopecia Areata Disease: A Scientometric Analysis of Publications from 2010 to 2019,,0,0,,,0,0,0,1,2020,Library Philosophy and Practice,2020,,,1,15,14,,"The present study is undertaken to find out the publication trends on Alopecia Areata Disease during 2010-2019 from the global perspective. The study mainly focus on distribution of research output, top journals for publications, most prolific authors, authorship pattern, and citations pattern on Alopecia Areata Disease. The results indicate that highest growth rate of publications occurred during the year 2019. Columbia University topped the scene among all institutes. The maximum publications were more than four authored publications. Christiano AM and Clynes R were found to be the most prolific authors. It is also found that most of the prolific authors (by number of publications) do appear in highly cited publications’ list. Alopecia Areata Disease researchers mostly preferred using article publications to communicate their findings. © 2020. All Rights Reserved."
Andrikopoulos A.; Trichas G.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048504765&doi=10.1016%2fj.jcorpfin.2018.05.008&partnerID=40&md5=7c0a1df7589cae0d355e285ae6ba4d0b,Publication patterns and coauthorship in the Journal of Corporate Finance,,,0,0,,0,0,0,1,2018,Journal of Corporate Finance,51,,,98,108,10,10.1016/j.jcorpfin.2018.05.008,"In this article, we explore publication patterns in the Journal of Corporate Finance and discuss scientometric results from 1994 to 2017. We document evidence on the number and size of published papers, collaborative research in terms of coauthorship, editorial board characteristics, and citations as approximations of scientific impact. We identify the most prolific individuals and institutions and discuss how published research has exhibited an increasing number of authors per paper (2.38 on average), how the percentage of USA-based affiliations is gradually decreasing, and how 10.32% of published papers have been written by a member of the editorial board. In an attempt to map the social structure of collaboration in the Journal of Corporate Finance, we studied the social network of coauthors and found that the most prolific authors and institutions are also among the most central ones. We also discovered that the network of coauthorship spreads across 470 connected groups of nodes, the largest of which spans 24.63% of the network. © 2018 Elsevier B.V."
Amsaveni N.; Harikrishnan C.A.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048593952&partnerID=40&md5=2d4628820d7d9daa6ada77d10adc387e,A scientometric analysis of environmental management research output during 1989 to 2014,0,,,0,,0,0,0,1,2018,Library Philosophy and Practice,2018,,1846,,,,,"The main objective of this article is to find out most prolific authors and journals in the environmental management research output during 1989 to 2014. This area is an interdisciplinary subject and developed dramatically over the last few decades. Scientometrics offers assess the quantitative analytical techniques with the development and growth of research in Environmental management. The total sample data retrieved from the database of Web of Knowledge, includes, SCI, SSCI, A & HCI. Total records of 61877 research articles retrieved from 22 types of different sources. Applicability of Bradford's law and Lotka's law methods was tested. © 2018 Library Philosophy and Practice."
Heradio R.; Fernandez-Amoros D.; Moral-Muñoz J.A.; Cobo M.J.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091480469&partnerID=40&md5=20e3a5fcc2a58484494bd34e7c2b7764,Rough sets: A bibliometric analysis from 2014 to 2018,,0,0,,,0,0,0,1,2020,Proceedings of the Annual Hawaii International Conference on System Sciences,2020-January,,,1747,1756,9,,"Along almost forty years, considerable research has been undertaken on rough set theory to deal with vague information. Rough sets have proven to be extremely helpful for a diversity of computer-science problems (e.g., knowledge discovery, computational logic, machine learning, etc.), and numerous application domains (e.g., business economics, telecommunications, neurosciences, etc.). Accordingly, the literature on rough sets has grown without ceasing, and nowadays it is immense. This paper provides a comprehensive overview of the research published for the last five years. To do so, it analyzes 4,038 records retrieved from the Clarivate Web of Science database, identifying (i) the most prolific authors and their collaboration networks, (ii) the countries and organizations that are leading research on rough sets, (iii) the journals that are publishing most papers, (iv) the topics that are being most researched, and (v) the principal application domains. © 2020 IEEE Computer Society. All rights reserved."
Ji L.; Liu C.; Huang L.; Huang G.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043382865&doi=10.1016%2fj.resconrec.2018.03.005&partnerID=40&md5=a1acf8a72fe38f588fa8f253c704e71d,The evolution of Resources Conservation and Recycling over the past 30 years: A bibliometric overview,,,0,0,,0,0,0,1,2018,"Resources, Conservation and Recycling",134,,,34,43,9,10.1016/j.resconrec.2018.03.005,"The aim of this study is to investigate the publication characteristics and development of Resources Conservation and Recycling (RCR) during its past 30 years. Through bibliometric analysis, this paper identified the most prolific authors/institutions/countries and the most cited articles, and tracked the dynamic evolution of hot topics. Besides, VOS viewer software was applied to visualize the collaboration network, journal co-citation network, and keywords co-occurrence network. The study revealed a positive trend in literature production of RCR. The most productive institution, is University of Utrecht in Netherlands, in terms of both total publication and total citations. Keywords frequency and keywords co-occurrence network analysis showed that the most prolific themes are corresponded to the basic aims and scope of the journal. The mainstream research in RCR focuses on recycling, waste management, sustainability, and environmental impact. Life cycle assessment, material flow analysis, and substance flow analysis are popular methods in recent years. Moreover, the emerging hot topics may attract great interest in future, including “food waste”, “carbon footprint”, “resource efficiency”, “circular economy”, “waste of electric and electronic”, “packaging waste”, and “China”. Knowing the objective bibliometric characteristics and the research topic evolution can serve as a useful reference for future studies, which may be of interest to the general audience. © 2018 Elsevier B.V."
Jamshed J.; Naeem S.; Ahmad K.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098137020&partnerID=40&md5=7b03df3e393ce48a31b7b191f4ce4ef6,Analysis of Criminal Law Literature A Bibliometric Study from 2010-2019,0,,,0,,0,0,0,1,2020,Library Philosophy and Practice,2020,,,1,14,13,,"Objective: The purpose of this research paper is to present a quantitative analysis of the Criminal Law Literature published from 2010 to 2019. Design/Methodology: The Institute of Scientific Information (ISI) Web of Science database was used as a source for extracting the data of published documents during the period 2010-2019. The analysis of the published literature was based on the following indicators: research productivity of each country, annual publications, annual citations, highly cited articles, highly cited law journals, most productive institutions in the field of criminal law, and most prolific authors. Research articles, conference proceeding papers, book reviews and editorials are different type of documents included in this study for analysis. Findings: The Finding revealed that 2017 was the most productive years in term of publications in the field of Criminal Law. The study found that the USA is the most productive country. The findings further showed that four universities situated in USA are in the list of top ten most productive universities in the field of Criminal Law. Conclusion: The result of this study shows that last three years are the most productive years in term of research in criminal law. Study also found that the USA is the most productive country in the world in term of research in the field of criminal law. © 2020. All Rights Reserved."
Harandi R.J.; Hosseinpur R.M.; Nevisi R.B.; Safari M.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096476270&doi=10.22108%2fare.2019.118554.1484&partnerID=40&md5=0d4dbf16e00d4fbb095cc34250a5693c,Academic-scholarly publications in the Iranian applied linguistics journals (2008-2019): A comprehensive review,,0,0,,,0,0,0,1,2020,Applied Research on English Language,9,2,,253,276,23,10.22108/are.2019.118554.1484,"The first step in the optimization of research is to analyze and review the conducted research to gain a comprehensive overview. Therefore, this study was set to delve into the contributions made to Iranian Applied Linguistics Journals approved by the Ministry of Science, Research, and Technology from 2008 to 2019. To analyze the data, frequency analyses were run on 1419 publications. The findings indicated that TEFL-related topics received the most coverage (88%) compared to the other prevalent majors: Linguistics, Translation, and Literature. The study revealed that male contributions (63.7%) far outweighed those of females (34.4%). Furthermore, it came to light that co-authorship (59.95%) was more appreciated among contributors to Iranian applied linguistics journals. Moreover, Islamic Azad University collectively (25.34%) followed by University of Shiraz (11.3%) and University of Isfahan (10.25%) had the highest number of publications. Assistant (32.12%) and associate professors (21.86%) had the highest number of publications. It was also found that the US contributors (28.75%) followed by Australian and Malaysian contributors (13.75%) made the highest number of foreign contributions to the Iranian EFL journals. Finally, it was revealed that writing-related topics was the most frequently-explored topic (n=164). Corpus-related studies (n=132) and teacher education (n=118) came second and third respectively. The study provides practitioners and researchers with relevant and missing information about the most frequently-explored topics, the most prolific authors, the most productive universities, and the number of foreign contributions. © 2020 University of Isfahan. All rights reserved."
Baker H.K.; Kumar S.; Pattnaik D.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077162883&doi=10.1002%2frfe.1095&partnerID=40&md5=adb58f6f84125af5a3d54683389506ab,Twenty-five years of Review of Financial Economics: A bibliometric overview,,,0,0,,0,0,0,1,2020,Review of Financial Economics,38,1,,3,23,20,10.1002/rfe.1095,"The Review of Financial Economics (RFE) has published empirical research covering all areas of financial economics since 1994. It celebrated its silver jubilee year of publishing in 2018. Using bibliometric techniques, we analyze the journal's impact, its prominent topics and most prolific authors including their affiliated institutions and countries. We also identify the bibliographic couplings of authors and their affiliated institutions and countries, co-citations of journals, and co-occurrences of the authors’ specified keywords. Our results show that about 83% of the published works receiving at least one citation between 1994 and 2018 and about 68% are co-authored. Among the important themes discussed in RFE, the words “stock”, “market,” and “risk” occupy central positions in RFE publications. Bibliographic coupling analysis identifies six clusters: (a) macroeconomic indicators, (b) investments, (c) financial institutions, (d) stock market, (e) corporate governance, and (f) corporate financial decisions. © 2019 University of New Orleans"
